Time,Number of Infections
9.1483898,6888.0
14.1110397,4642.0
4.994975,1.0
18.7690706,1199.0
19.527705,176.0
16.6844669,325.0
17.9500429,263.0
41.4539669,72.0
13.3021062,29.0
