Title,Values
Peak_Times,"9.5297569, 12.6816375, 16.3204744"
Peak_Infections,"6650.0, 5218.0, 2202.0"
Total Infections,"822910021.0, 722371209.0, 278425569.0"
Total_Unique_Infections,"9950.0, 9888.0, 9617.0"
