Title,Values
Start Time,"0.8769451, 3.4785447"
25% prevalence rate time,"13.0408741, 8.714698"
50% prevalence rate time,"-1.0, 9.5768561"
Peak_Times,"17.5315299, 11.808967"
Peak_Infections,"4846.0, 7858.0"
Total Infections,"73015002.0, 154032008.0"
Total Unique Infections,"8412, 9946"
Total Unique Recoveries,"9907.0, 9994.0"
