Time,Number of Infections
4.0844763,207.0
4.0861233,459.0
4.086281,933.0
4.0869138,5363.0
4.0866171,485.0
4.0870616,2026.0
4.0869863,8681.0
4.0870442,2124.0
4.0497355,4.0
