Title,Values
Start Time,"0.9523569, 3.5156604"
25% prevalence rate time,"12.947361, 9.9826715"
50% prevalence rate time,"16.9066046, 11.0260233"
Peak_Times,"17.6266004, 13.3931299"
Peak_Infections,"5043.0, 7550.0"
Total Infections,"84782479.0, 153212789.0"
Total Unique Infections,"8697, 9904"
Total Unique Recoveries,"9918.0, 9989.0"
