Title,Values
Start Time,"0.0210679, 10.0005494"
25% prevalence rate time,"10.5594328, 14.3088927"
50% prevalence rate time,"12.5592202, 15.4404241"
Peak_Times,"15.1610147, 16.8707653"
Peak_Infections,"6455.0, 5964.0"
Total Infections,"129964696.0, 75085789.0"
Total Unique Infections,"9634, 8398"
Total Unique Recoveries,"9972.0, 9981.0"
