Title,Values
Start Time,"1.8849894, 10.000881"
25% prevalence rate time,"12.3967433, 16.8607184"
50% prevalence rate time,"14.4646666, 18.2177765"
Peak_Times,"17.6489599, 20.5911008"
Peak_Infections,"6623.0, 6381.0"
Total Infections,"151376078.0, 95613913.0"
Total Unique Infections,"9838, 8972"
Total Unique Recoveries,"9951.0, 9978.0"
