Title,Values
Peak_Times,"7.2901861, 8.0974386, 12.8493986"
Peak_Infections,"5957.0, 5212.0, 2992.0"
Total Infections,"733109590.0, 628764200.0, 298662324.0"
Total_Unique_Infections,"9845.0, 9878.0, 9472.0"
