Title,Values
Peak_Times,"9.6113533, 9.0000385, 47.3598993"
Peak_Infections,"6714.0, 1.0, 794.0"
Total Infections,"521957442.0, 21265.0, 21156231.0"
Total_Unique_Infections,"9989.0, 6766.0, 9093.0"
