Title,Values
Start Time,"2.8017822, 5.0400915"
25% prevalence rate time,"14.513099, 13.2157929"
50% prevalence rate time,"16.9211309, 14.6653116"
Peak_Times,"19.6828356, 17.1255073"
Peak_Infections,"5889.0, 6886.0"
Total Infections,"117581847.0, 151720196.0"
Total Unique Infections,"9440, 9789"
Total Unique Recoveries,"9941.0, 9976.0"
