Title,Values
Peak_Times,"10.1151888, 6.0025382, 12.0001507"
Peak_Infections,"6701.0, 1.0, 1.0"
Total Infections,"526761633.0, 3289.0, 4228.0"
Total_Unique_Infections,"9892.0, 6383.0, 6470.0"
