Time,Number of Infections
5.6118889,786.0
6.9566978,661.0
9.1725204,330.0
7.6318109,388.0
8.4097159,240.0
9.2687389,351.0
7.9666095,523.0
8.8085549,257.0
7.5322801,460.0
