Start Time,End Time,Status
0.0,45.2879049,2.0
4.953518,49.5457199,2.0
5.4365615,50.9298568,2.0
5.9659778,37.7483923,2.0
6.2468999,39.6870219,2.0
6.9915036,33.2617715,2.0
7.7227959,19.8898098,2.0
8.2044265,49.9221797,2.0
8.2825886,48.2828243,2.0
