Title,Values
Start Time,"0.7968419, 10.000681"
25% prevalence rate time,"14.4104507, 30.7295663"
50% prevalence rate time,"16.5476926, 33.4645436"
Peak_Times,"20.0167546, 37.2659805"
Peak_Infections,"6701.0, 6233.0"
Total Infections,"131198485.0, 93629538.0"
Total Unique Infections,"9955, 9933"
Total Unique Recoveries,"9955.0, 9933.0"
