Title,Values
Peak_Times,"8.7332737, 27.7192283, 0.0"
Peak_Infections,"6661.0, 1410.0, 0.0"
Total Infections,"540352328.0, 60760360.0, 0.0"
Total_Unique_Infections,"9963.0, 9359.0, 7070.0"
