Title,Values
Start Time,"3.0282106, 15.0007067"
25% prevalence rate time,"16.9281795, 21.2274662"
50% prevalence rate time,"18.9508176, 22.3940343"
Peak_Times,"21.5347812, 24.4556211"
Peak_Infections,"6524.0, 6505.0"
Total Infections,"148233835.0, 93602284.0"
Total Unique Infections,"9838, 8891"
Total Unique Recoveries,"9963.0, 9981.0"
