Title,Values
Start Time,"1.612073, 10.0022724"
25% prevalence rate time,"15.0554064, 21.4572704"
50% prevalence rate time,"17.2128035, -1.0"
Peak_Times,"20.346037, 26.3686575"
Peak_Infections,"6628.0, 4982.0"
Total Infections,"138537152.0, 70749722.0"
Total Unique Infections,"9884, 8262"
Total Unique Recoveries,"9955.0, 9905.0"
