Title,Values
Start Time,"0.7919407, 15.0005055"
25% prevalence rate time,"10.8879098, 23.1090944"
50% prevalence rate time,"12.9249073, 25.3705062"
Peak_Times,"16.4293146, 26.2586273"
Peak_Infections,"6762.0, 5230.0"
Total Infections,"124696024.0, 55615161.0"
Total Unique Infections,"9952, 7414"
Total Unique Recoveries,"9981.0, 9957.0"
