Title,Values
Start Time,"0.4837678, 15.0042896"
25% prevalence rate time,"11.3396589, 32.2081545"
50% prevalence rate time,"13.3239334, -1.0"
Peak_Times,"16.7565706, 36.7343991"
Peak_Infections,"6733.0, 3440.0"
Total Infections,"103696117.0, 33297000.0"
Total Unique Infections,"9952, 6300"
Total Unique Recoveries,"9971.0, 9825.0"
