Title,Values
Peak_Times,"8.1765564, 0.0, 31.3291557"
Peak_Infections,"6771.0, 0.0, 1301.0"
Total Infections,"542212969.0, 0.0, 47040199.0"
Total_Unique_Infections,"9976.0, 4196.0, 9291.0"
