Title,Values
Start Time,"0.17525, 5.2116524"
25% prevalence rate time,"13.3121052, 13.0225001"
50% prevalence rate time,"16.1471715, 14.4053161"
Peak_Times,"17.7392734, 16.387932"
Peak_Infections,"5305.0, 6477.0"
Total Infections,"98465275.0, 118089688.0"
Total Unique Infections,"8931, 9470"
Total Unique Recoveries,"9931.0, 9971.0"
