Time,Number of Infections
8.5264675,6898.0
15.3275426,1584.0
13.2559766,3811.0
11.859058,2434.0
12.6396128,247.0
5.3578631,1.0
8.3169414,2.0
12.0203893,18.0
5.9022373,1.0
