Title,Values
Peak_Times,"6.8277858, 12.9058896, 22.123579"
Peak_Infections,"6625.0, 4686.0, 661.0"
Total Infections,"736657717.0, 489031085.0, 41742485.0"
Total_Unique_Infections,"9914.0, 9700.0, 9002.0"
