Title,Values
Start Time,"2.2353045, 10.016677"
25% prevalence rate time,"14.4322946, 20.3477946"
50% prevalence rate time,"16.558652, 22.1970116"
Peak_Times,"19.8891875, 25.0610974"
Peak_Infections,"6577.0, 6586.0"
Total Infections,"164629666.0, 110944903.0"
Total Unique Infections,"9937, 9622"
Total Unique Recoveries,"9957.0, 9967.0"
