Title,Values
Peak_Times,"9.4611179, 29.0188257, 31.682129"
Peak_Infections,"6771.0, 1177.0, 3404.0"
Total Infections,"560495912.0, 109952279.0, 254917824.0"
Total_Unique_Infections,"9993.0, 9463.0, 9785.0"
