Title,Values
Start Time,"0.6789414, 5.0001881"
25% prevalence rate time,"11.2896703, 11.0320745"
50% prevalence rate time,"14.4883478, 12.2173527"
Peak_Times,"14.9423439, 14.4696443"
Peak_Infections,"5085.0, 6690.0"
Total Infections,"92138491.0, 115909209.0"
Total Unique Infections,"8752, 9470"
Total Unique Recoveries,"9956.0, 9985.0"
