Title,Values
Start Time,"1.5938168, 5.0008798"
25% prevalence rate time,"11.8304471, 20.4697154"
50% prevalence rate time,"13.9292828, -1.0"
Peak_Times,"17.0518372, 25.6183054"
Peak_Infections,"6606.0, 4082.0"
Total Infections,"131270875.0, 58903569.0"
Total Unique Infections,"9903, 7853"
Total Unique Recoveries,"9957.0, 9799.0"
